id,listing_url,host_id,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
10106055,https://www.airbnb.com/rooms/10106055,51860756,https://www.airbnb.com/users/show/51860756,12/20/15,N/A,N/A,N/A,f,1,1,t,f,98119,47.63339396,-122.3719199,t,House,Private room,2,1,1,1,Real Bed,,75.00,350.00,,,,1,$0.00 ,1,1125,t,30,60,90,365,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,flexible,f,f,1,
6362362,https://www.airbnb.com/rooms/6362362,33147763,https://www.airbnb.com/users/show/33147763,5/11/15,N/A,N/A,N/A,f,1,1,t,f,98119,47.63851671,-122.369581,t,House,Entire home/apt,5,2.5,3,3,Real Bed,,600.00,,,500.00,150.00,1,$0.00 ,3,1125,t,0,0,0,212,1/4/16,1,7/20/15,7/20/15,100,10,10,10,10,10,10,f,,WASHINGTON,f,moderate,f,f,1,0.18
3544550,https://www.airbnb.com/rooms/3544550,16708587,https://www.airbnb.com/users/show/16708587,6/12/14,within a few hours,67%,100%,f,2,2,t,t,98119,47.63139735,-122.3677669,t,House,Entire home/apt,8,2.5,3,5,Real Bed,,450.00,,,500.00,200.00,6,$50.00 ,4,1125,t,0,3,33,293,1/4/16,8,7/4/15,9/2/15,100,10,10,9,10,10,10,f,,WASHINGTON,f,strict,f,f,2,1.3
9025039,https://www.airbnb.com/rooms/9025039,68155,https://www.airbnb.com/users/show/68155,1/6/10,within a few hours,100%,100%,f,1,1,t,t,98119,47.63875224,-122.3679727,t,House,Entire home/apt,5,1,2,3,Real Bed,,150.00,,,250.00,35.00,1,$0.00 ,1,1125,t,0,0,0,49,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,flexible,f,f,1,
3200646,https://www.airbnb.com/rooms/3200646,4016632,https://www.airbnb.com/users/show/4016632,10/30/12,within an hour,100%,100%,t,5,5,t,t,98119,47.63926602,-122.3747258,t,Camper/RV,Private room,2,1,1,1,Real Bed,,45.00,360.00,,150.00,25.00,1,$0.00 ,2,7,t,22,49,49,107,1/4/16,80,7/6/14,1/2/16,95,10,10,10,10,9,9,f,,WASHINGTON,f,strict,t,t,5,4.38
8859380,https://www.airbnb.com/rooms/8859380,3792761,https://www.airbnb.com/users/show/3792761,10/7/12,within an hour,100%,100%,f,5,5,t,t,98119,47.62990712,-122.3689481,t,Apartment,Entire home/apt,6,2,3,3,Real Bed,,300.00,,,500.00,125.00,1,$0.00 ,2,1125,t,24,54,84,356,1/4/16,6,10/24/15,1/2/16,100,10,10,10,10,10,10,f,,WASHINGTON,t,moderate,f,f,1,2.47
4520099,https://www.airbnb.com/rooms/4520099,6184895,https://www.airbnb.com/users/show/6184895,5/1/13,within an hour,71%,100%,f,1,1,t,t,98119,47.63981587,-122.3743385,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,,80.00,500.00,,,65.00,3,$50.00 ,2,1125,t,0,1,30,305,1/4/16,4,1/4/15,7/25/15,85,8,9,7,10,9,9,f,,WASHINGTON,f,strict,f,f,1,0.33
2481869,https://www.airbnb.com/rooms/2481869,5177328,https://www.airbnb.com/users/show/5177328,2/21/13,within an hour,98%,100%,t,6,6,t,t,98119,47.63900778,-122.3653201,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,,175.00,1000.00,3200.00,,40.00,1,$0.00 ,2,365,t,19,46,62,323,1/4/16,38,5/1/14,10/11/15,96,10,10,10,10,10,10,f,,WASHINGTON,f,strict,t,t,6,1.86
1110749,https://www.airbnb.com/rooms/1110749,5325329,https://www.airbnb.com/users/show/5325329,3/4/13,within a few hours,97%,100%,f,9,9,t,t,98119,47.63508504,-122.3644435,t,House,Entire home/apt,6,1.5,3,3,Real Bed,,325.00,,,500.00,100.00,6,$60.00 ,2,1125,t,23,50,77,162,1/4/16,68,6/15/13,12/21/15,92,9,9,10,9,10,9,f,,WASHINGTON,f,strict,f,f,8,2.18
5978498,https://www.airbnb.com/rooms/5978498,31037494,https://www.airbnb.com/users/show/31037494,4/11/15,within a day,60%,100%,f,1,1,t,t,98119,47.64063323,-122.3727094,t,House,Entire home/apt,4,3,3,2,Real Bed,,175.00,699.00,2388.00,200.00,80.00,1,$0.00 ,4,120,t,0,0,9,213,1/4/16,8,7/6/15,12/3/15,88,9,9,9,9,10,9,f,,WASHINGTON,f,flexible,f,f,1,1.31
5021081,https://www.airbnb.com/rooms/5021081,25906186,https://www.airbnb.com/users/show/25906186,1/10/15,within an hour,71%,100%,f,1,1,t,t,98119,47.63812149,-122.37579,t,House,Entire home/apt,7,3.5,4,3,Real Bed,,222.00,1325.00,4650.00,500.00,250.00,7,$75.00 ,2,1125,t,0,0,0,2,1/4/16,5,8/7/15,11/12/15,75,8,9,8,9,9,8,f,,WASHINGTON,t,strict,f,f,1,0.99
